Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain,prix_m2
,,,,,,,1,05/01/2024,Vente,175000.0,2.0,,RUE,7298,PIERRE DE LADIME,33800.0,BORDEAUX,33,63,,CK,247,,11,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,05/01/2024,Vente,175000.0,328.0,,CRS,8705,DE LA SOMME,33800.0,BORDEAUX,33,63,,CK,247,,24,"39,79",,,,,,,,,1,2.0,Appartement,,53.0,2.0,,,,3301.8867924528304
,,,,,,,1,08/01/2024,Vente,28000.0,179.0,,RUE,1435,CAMILLE GODARD,33000.0,BORDEAUX,33,63,,OT,16,,1829,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,09/01/2024,Vente,180000.0,25.0,,RUE,5885,DU MANEGE,33000.0,BORDEAUX,33,63,,KY,57,,1,,,,,,,,,,1,2.0,Appartement,,25.0,1.0,,,,7200.0
,,,,,,,1,10/01/2024,Vente,22000.0,10.0,,RUE,1080,BORIE,33300.0,BORDEAUX,33,63,,RE,94,,10,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,10/01/2024,Vente,22000.0,10.0,,RUE,1080,BORIE,33300.0,BORDEAUX,33,63,,RE,94,,11,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,10/01/2024,Vente,22000.0,10.0,,RUE,1080,BORIE,33300.0,BORDEAUX,33,63,,RE,94,,4,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,10/01/2024,Vente,22000.0,10.0,,RUE,1080,BORIE,33300.0,BORDEAUX,33,63,,RE,94,,5,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,09/01/2024,Vente,722000.0,10.0,,ALL,6805,D ORLEANS,33000.0,BORDEAUX,33,63,,KP,30,,63,"138,25",,,,,,,,,1,2.0,Appartement,,137.0,5.0,,,,5270.07299270073
,,,,,,,1,09/01/2024,Vente,722000.0,10.0,,ALL,6805,D ORLEANS,33000.0,BORDEAUX,33,63,,KP,30,,78,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,05/01/2024,Vente,221000.0,121.0,,QUAI,2000,DES CHARTRONS,33300.0,BORDEAUX,33,63,,RR,273,,8,"53,85",,,,,,,,,1,2.0,Appartement,,58.0,2.0,,,,3810.344827586207
,,,,,,,1,05/01/2024,Vente,221000.0,9.0,,CRS,6265,DU MEDOC,33300.0,BORDEAUX,33,63,,RR,304,,5,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,10/01/2024,Vente,373000.0,39.0,,BD,0080,ALBERT 1ER,33800.0,BORDEAUX,33,63,,CE,92,,285,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,10/01/2024,Vente,373000.0,39.0,,BD,0080,ALBERT 1ER,33800.0,BORDEAUX,33,63,,CE,92,,286,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,04/01/2024,Vente,140000.0,2.0,,RUE,4549,JEAN ARTUS,33300.0,BORDEAUX,33,63,,PX,3,,233,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,04/01/2024,Vente,140000.0,2.0,,RUE,4549,JEAN ARTUS,33300.0,BORDEAUX,33,63,,PX,3,,74,"70,15",,,,,,,,,1,2.0,Appartement,,68.0,3.0,,,,2058.823529411765
,,,,,,,1,02/01/2024,Vente,231000.0,10.0,,RUE,2442,DANIEL IFFLA OSIRIS,33300.0,BORDEAUX,33,63,,SD,83,,34,"61,06",,,,,,,,,1,2.0,Appartement,,62.0,3.0,,,,3725.8064516129034
,,,,,,,1,02/01/2024,Vente,231000.0,18.0,,RUE,5716,LUCIE AUBRAC,33300.0,BORDEAUX,33,63,,SD,83,,146,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,02/01/2024,Vente,403300.0,21.0,,RUE,8805,DE TAMATAVE,33000.0,BORDEAUX,33,63,,ID,400,,224,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,02/01/2024,Vente,403300.0,19.0,,RUE,8805,DE TAMATAVE,33000.0,BORDEAUX,33,63,,ID,400,,13,"82,76",,,,,,,,,1,2.0,Appartement,,83.0,4.0,,,,4859.036144578313
,,,,,,,1,05/01/2024,Vente,290000.0,31.0,,RUE,5196,LAPORTE CAUD,33200.0,BORDEAUX,33,63,,VH,39,,62,,91,"102,84",,,,,,,2,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,05/01/2024,Vente,290000.0,31.0,,RUE,5196,LAPORTE CAUD,33200.0,BORDEAUX,33,63,,VH,39,,62,,91,"102,84",,,,,,,2,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,05/01/2024,Vente,290000.0,31.0,,RUE,5196,LAPORTE CAUD,33200.0,BORDEAUX,33,63,,VH,39,,62,,91,"102,84",,,,,,,2,2.0,Appartement,,103.0,4.0,,,,2815.5339805825242
,,,,,,,1,05/01/2024,Vente,290000.0,31.0,,RUE,5196,LAPORTE CAUD,33200.0,BORDEAUX,33,63,,VH,39,,62,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,11/01/2024,Vente,80000.0,5.0,,PL,1940,CHARLES GRUET,33000.0,BORDEAUX,33,63,,KS,6,,1,"14,42",,,,,,,,,1,2.0,Appartement,,15.0,1.0,,,,5333.333333333333
,,,,,,,1,03/01/2024,Vente,272000.0,86.0,,AV,5620,LOUIS BARTHOU CAUD,33200.0,BORDEAUX,33,63,,NX,132,,34,"65,53",,,,,,,,,1,2.0,Appartement,,67.0,3.0,,,,4059.7014925373132
,,,,,,,1,03/01/2024,Vente,272000.0,84.0,,AV,5620,LOUIS BARTHOU CAUD,33200.0,BORDEAUX,33,63,,NX,132,,4,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,12/01/2024,Vente,415800.0,52.0,,RUE,3815,GAMBETTA CAUD,33200.0,BORDEAUX,33,63,,VE,42,,,,,,,,,,,,0,1.0,Maison,,38.0,3.0,S,,268.0,10942.105263157895
,,,,,,,1,12/01/2024,Vente,415800.0,52.0,,RUE,3815,GAMBETTA CAUD,33200.0,BORDEAUX,33,63,,VE,43,,,,,,,,,,,,0,1.0,Maison,,60.0,3.0,S,,380.0,6930.0
,,,,,,,1,03/01/2024,Vente,200000.0,324.0,,RUE,6975,PASTEUR,33200.0,BORDEAUX,33,63,,VI,7,,163,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,03/01/2024,Vente,200000.0,328.0,,RUE,6975,PASTEUR,33200.0,BORDEAUX,33,63,,VI,7,,104,,110,"74,80",,,,,,,2,2.0,Appartement,,80.0,3.0,,,,2500.0
,,,,,,,1,08/01/2024,Vente,165000.0,29.0,,RUE,4475,HUGUERIE,33000.0,BORDEAUX,33,63,,KS,38,,10,"25,09",,,,,,,,,1,2.0,Appartement,,23.0,1.0,,,,7173.913043478261
,,,,,,,1,09/01/2024,Vente,140000.0,21.0,,RUE,0920,BIGOT,33000.0,BORDEAUX,33,63,,DR,336,,20,,,,,,,,,,1,2.0,Appartement,,25.0,1.0,,,,5600.0
,,,,,,,1,03/01/2024,Vente,105000.0,11.0,,RUE,8555,SAUMENUDE,33800.0,BORDEAUX,33,63,,DN,517,,5,"22,17",,,,,,,,,1,2.0,Appartement,,22.0,1.0,,,,4772.727272727273
,,,,,,,1,03/01/2024,Vente,230000.0,17.0,B,RUE,9115,DE TURENNE,33000.0,BORDEAUX,33,63,,KT,227,,2,,,,,,,,,,1,2.0,Appartement,,67.0,2.0,,,,3432.8358208955224
,,,,,,,1,03/01/2024,Vente,349000.0,104.0,,RUE,8975,DU TONDU,33000.0,BORDEAUX,33,63,,EY,104,,3,,,,,,,,,,1,2.0,Appartement,,73.0,3.0,,,,4780.821917808219
,,,,,,,1,03/01/2024,Vente,349000.0,104.0,,RUE,8975,DU TONDU,33000.0,BORDEAUX,33,63,,EY,104,,3,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,03/01/2024,Vente,100000.0,83.0,,CRS,5990,DU MARECHAL GALLIENI,33000.0,BORDEAUX,33,63,,HX,4,,3,"31,56",,,,,,,,,1,4.0,Local industriel. commercial ou assimilé,,32.0,0.0,,,,3125.0
,,,,,,,1,15/01/2024,Vente,20000.0,222.0,,AV,3340,EYSINES CAUD,33200.0,BORDEAUX,33,63,,YE,142,,125,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,09/01/2024,Vente,765000.0,28.0,,RUE,6350,MEXICO,33200.0,BORDEAUX,33,63,,OL,234,,,,,,,,,,,,0,1.0,Maison,,126.0,4.0,S,,169.0,6071.428571428572
,,,,,,,1,12/01/2024,Vente,100000.0,16.0,,RUE,5675,LOUIS LIARD,33000.0,BORDEAUX,33,63,,DU,71,,6,"16,25",,,,,,,,,1,2.0,Appartement,,16.0,1.0,,,,6250.0
,,,,,,,1,05/01/2024,Vente,200000.0,49.0,,RUE,2770,DONISSAN,33000.0,BORDEAUX,33,63,,DU,247,,90,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,05/01/2024,Vente,200000.0,49.0,,RUE,2770,DONISSAN,33000.0,BORDEAUX,33,63,,DU,247,,104,,29,,,,,,,,2,2.0,Appartement,,45.0,2.0,,,,4444.444444444444
,,,,,,,1,05/01/2024,Vente,200000.0,49.0,,RUE,2770,DONISSAN,33000.0,BORDEAUX,33,63,,DU,247,,104,,29,,,,,,,,2,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,05/01/2024,Vente,200000.0,49.0,,RUE,2770,DONISSAN,33000.0,BORDEAUX,33,63,,DU,247,,104,,29,,,,,,,,2,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,05/01/2024,Vente,87650.0,9.0,,RUE,8555,SAUMENUDE,33800.0,BORDEAUX,33,63,,DN,516,,5,,,,,,,,,,1,2.0,Appartement,,23.0,1.0,,,,3810.8695652173915
,,,,,,,1,05/01/2024,Vente,87650.0,9.0,,RUE,8555,SAUMENUDE,33800.0,BORDEAUX,33,63,,DN,516,,7,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,11/01/2024,Vente,182160.0,200.0,,BD,0080,ALBERT 1ER,33800.0,BORDEAUX,33,63,,BZ,210,,235,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,11/01/2024,Vente,84000.0,25.0,,RUE,3020,DUVERGIER,33200.0,BORDEAUX,33,63,,NS,7,,24,"17,56",,,,,,,,,1,2.0,Appartement,,15.0,1.0,,,,5600.0
,,,,,,,1,11/01/2024,Vente,50000.0,343.0,,CRS,8705,DE LA SOMME,33800.0,BORDEAUX,33,63,,EO,51,,1,"14,49",,,,,,,,,1,2.0,Appartement,,16.0,1.0,,,,3125.0
