Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain,prix_m2
,,,,,,,1,05/01/2024,Vente,232000.0,22.0,,IMP,2317,DELESALLE RUE R SALENGRO,59260.0,LILLE,59,350,298.0,AD,699,,,,,,,,,,,,0,3.0,Dépendance,,0.0,0.0,S,,101.0,inf
,,,,,,,1,05/01/2024,Vente,232000.0,22.0,,IMP,2317,DELESALLE RUE R SALENGRO,59260.0,LILLE,59,350,298.0,AD,699,,,,,,,,,,,,0,1.0,Maison,,95.0,5.0,S,,101.0,2442.1052631578946
,,,,,,,1,05/01/2024,Vente,57500.0,11.0,,RUE,5499,DE LENS,59000.0,LILLE,59,350,,OT,151,,8,"12,19",,,,,,,,,1,2.0,Appartement,,13.0,1.0,,,,4423.076923076923
,,,,,,,1,05/01/2024,Vente,57500.0,11.0,,RUE,5499,DE LENS,59000.0,LILLE,59,350,,OT,151,,2,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,04/01/2024,Vente,235000.0,229.0,,RUE,3277,FAIDHERBE HELLEMMES,59260.0,LILLE,59,350,298.0,AB,170,,,,,,,,,,,,0,1.0,Maison,,90.0,5.0,S,,101.0,2611.1111111111113
,,,,,,,1,05/01/2024,Vente,140000.0,9.0,,RUE,3552,FRANCISCO FERRER,59800.0,LILLE,59,350,,CM,374,,,,,,,,,,,,0,1.0,Maison,,70.0,4.0,S,,285.0,2000.0
,,,,,,,1,03/01/2024,Vente,194000.0,12.0,,RUE,9224,VIOLETTE,59000.0,LILLE,59,350,,IT,217,,99,"87,60",,,,,,,,,1,2.0,Appartement,,42.0,2.0,,,,4619.047619047619
,,,,,,,1,03/01/2024,Vente,194000.0,12.0,,RUE,9224,VIOLETTE,59000.0,LILLE,59,350,,IT,217,,99,"87,60",,,,,,,,,1,2.0,Appartement,,90.0,4.0,,,,2155.5555555555557
,,,,,,,1,03/01/2024,Vente,15000.0,9001.0,,RUE,1354,CASTEL,59800.0,LILLE,59,350,,CI,224,,17,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,04/01/2024,Vente,70000.0,96.0,,RUE,4706,D ISLY,59000.0,LILLE,59,350,,MX,101,,18,,8,,,,,,,,2,2.0,Appartement,,16.0,1.0,,,,4375.0
,,,,,,,1,04/01/2024,Vente,70000.0,96.0,,RUE,4706,D ISLY,59000.0,LILLE,59,350,,MX,101,,18,,8,,,,,,,,2,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,09/01/2024,Vente,117100.0,265.0,,BD,9119,VICTOR HUGO,59000.0,LILLE,59,350,,MT,13,,4,,,,,,,,,,1,2.0,Appartement,,36.0,2.0,,,,3252.777777777778
,,,,,,,1,09/01/2024,Vente,117100.0,265.0,,BD,9119,VICTOR HUGO,59000.0,LILLE,59,350,,MT,13,,8,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,10/01/2024,Vente,96000.0,80.0,,RUE,5337,DE LANNOY,59800.0,LILLE,59,350,,BT,58,,8,"37,26",,,,,,,,,1,2.0,Appartement,,35.0,1.0,,,,2742.8571428571427
,,,,,,,1,11/01/2024,Vente,270500.0,10.0,,IMP,2593,DEWOLF RUE PHILADELPHIE,59800.0,LILLE,59,350,,CD,70,,,,,,,,,,,,0,1.0,Maison,,90.0,4.0,S,,71.0,3005.5555555555557
,,,,,,,1,10/01/2024,Vente,293000.0,17.0,,RUE,4202,DU GROS GERARD,59800.0,LILLE,59,350,,KT,20,,,,,,,,,,,,0,3.0,Dépendance,,0.0,0.0,S,,16.0,inf
,,,,,,,1,10/01/2024,Vente,293000.0,14.0,,SQ,7369,DU RAMPONNEAU,59800.0,LILLE,59,350,,KT,21,,27,"54,30",59,,,,,,,,2,2.0,Appartement,,48.0,3.0,,,,6104.166666666667
,,,,,,,1,10/01/2024,Vente,293000.0,14.0,,SQ,7369,DU RAMPONNEAU,59800.0,LILLE,59,350,,KT,21,,27,"54,30",59,,,,,,,,2,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,10/01/2024,Vente,78000.0,64.0,,RUE,1844,DE CONDE,59000.0,LILLE,59,350,,OZ,246,,7,"26,26",,,,,,,,,1,2.0,Appartement,,35.0,1.0,,,,2228.5714285714284
,,,,,,,1,10/01/2024,Vente,1350000.0,19.0,,RUE,6394,NICOLAS LEBLANC,59000.0,LILLE,59,350,,OR,202,,,,,,,,,,,,0,4.0,Local industriel. commercial ou assimilé,,567.0,0.0,S,,614.0,2380.9523809523807
,,,,,,,1,05/01/2024,Vente,1457.35,133.0,,RUE,7649,ROYALE,59800.0,LILLE,59,350,,EZ,32,,297,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,12/01/2024,Vente,76000.0,5.0,,RUE,4164,DE LA GRANDE BRASSERIE,59000.0,LILLE,59,350,,IY,336,,2069,"17,56",,,,,,,,,1,2.0,Appartement,,18.0,1.0,,,,4222.222222222223
,,,,,,,1,04/01/2024,Vente,69500.0,53.0,,RUE,8749,DE TREVISE,59000.0,LILLE,59,350,,IK,253,,332,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,04/01/2024,Vente,69500.0,53.0,,RUE,8749,DE TREVISE,59000.0,LILLE,59,350,,IK,253,,305,"30,07",370,,,,,,,,2,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,04/01/2024,Vente,69500.0,53.0,,RUE,8749,DE TREVISE,59000.0,LILLE,59,350,,IK,253,,305,"30,07",370,,,,,,,,2,2.0,Appartement,,31.0,1.0,,,,2241.935483870968
,,,,,,,1,08/01/2024,Vente,200000.0,169.0,,RUE,9478,HENRI GHESQUIERE LOMME,59160.0,LILLE,59,350,355.0,C,4720,,,,,,,,,,,,0,1.0,Maison,,68.0,4.0,S,,194.0,2941.176470588235
,,,,,,,1,11/01/2024,Vente,151300.0,3.0,,VC,6200,MONTAGNE 36 RUE ARAGO,59000.0,LILLE,59,350,,OZ,189,,,,,,,,,,,,0,1.0,Maison,,38.0,2.0,S,,18.0,3981.5789473684213
,,,,,,,1,03/01/2024,Vente,205000.0,22.0,,RUE,9369,ALBERT THOMAS LOMME,59160.0,LILLE,59,350,355.0,B,1652,,,,,,,,,,,,0,1.0,Maison,,61.0,3.0,S,,70.0,3360.655737704918
,,,,,,,1,08/01/2024,Vente,562000.0,183.0,,RUE,1194,DU BUISSON,59800.0,LILLE,59,350,,AR,14,,,,,,,,,,,,0,1.0,Maison,,128.0,3.0,S,,274.0,4390.625
,,,,,,,1,02/01/2024,Vente,595500.0,63.0,,RUE,7199,PRINCESSE,59800.0,LILLE,59,350,,HI,58,,,,,,,,,,,,0,2.0,Appartement,,57.0,3.0,S,,138.0,10447.368421052632
,,,,,,,1,02/01/2024,Vente,595500.0,63.0,,RUE,7199,PRINCESSE,59800.0,LILLE,59,350,,HI,58,,,,,,,,,,,,0,3.0,Dépendance,,0.0,0.0,S,,138.0,inf
,,,,,,,1,02/01/2024,Vente,595500.0,63.0,,RUE,7199,PRINCESSE,59800.0,LILLE,59,350,,HI,58,,,,,,,,,,,,0,2.0,Appartement,,75.0,3.0,S,,138.0,7940.0
,,,,,,,1,02/01/2024,Vente,595500.0,63.0,,RUE,7199,PRINCESSE,59800.0,LILLE,59,350,,HI,58,,,,,,,,,,,,0,3.0,Dépendance,,0.0,0.0,S,,138.0,inf
,,,,,,,1,12/01/2024,Vente,137500.0,14.0,,RUE,4469,HENRI KOLB,59000.0,LILLE,59,350,,RX,329,,6,"34,57",,,,,,,,,1,2.0,Appartement,,51.0,2.0,,,,2696.078431372549
,,,,,,,1,11/01/2024,Vente,105000.0,56.0,,RUE,4831,JEAN BART HELLEMMES,59260.0,LILLE,59,350,298.0,AN,1112,,3,,,,,,,,,,1,2.0,Appartement,,50.0,2.0,,,,2100.0
,,,,,,,1,10/01/2024,Vente,482000.0,3.0,,PL,7504,RICHEBE,59800.0,LILLE,59,350,,LT,66,,12,,14,,,,,,,,2,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,10/01/2024,Vente,482000.0,3.0,,PL,7504,RICHEBE,59800.0,LILLE,59,350,,LT,66,,12,,14,,,,,,,,2,2.0,Appartement,,116.0,4.0,,,,4155.172413793103
,,,,,,,1,10/01/2024,Vente,482000.0,3.0,,PL,7504,RICHEBE,59800.0,LILLE,59,350,,LT,66,,16,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,03/01/2024,Vente,210000.0,18.0,,RUE,6894,PIERRE MARTEL,59800.0,LILLE,59,350,,KN,368,,119,,41,,,,,,,,2,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,03/01/2024,Vente,210000.0,18.0,,RUE,6894,PIERRE MARTEL,59800.0,LILLE,59,350,,KN,368,,119,,41,,,,,,,,2,2.0,Appartement,,68.0,3.0,,,,3088.235294117647
,,,,,,,1,03/01/2024,Vente,210000.0,18.0,,RUE,6894,PIERRE MARTEL,59800.0,LILLE,59,350,,KN,368,,222,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,02/01/2024,Vente,185000.0,39.0,,RUE,1046,BOUCHER DE PERTHES,59800.0,LILLE,59,350,,NW,195,,9,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,02/01/2024,Vente,185000.0,39.0,,RUE,1046,BOUCHER DE PERTHES,59800.0,LILLE,59,350,,NW,195,,6,,,,,,,,,,1,2.0,Appartement,,39.0,2.0,,,,4743.589743589743
