Surface reelle bati,Nombre pieces principales,Surface terrain,Nombre de lots,prix_m2
90.0,4.0,264.0,0,18444.444444444445
53.0,4.0,84.0,0,11320.754716981131
80.0,4.0,90.0,0,3250.0
100.0,4.0,264.0,0,16600.0
100.0,4.0,264.0,0,16600.0
65.0,4.0,123.0,0,18461.53846153846
100.0,4.0,263.0,0,6600.0
74.0,4.0,149.0,0,22972.972972972973
65.0,4.0,123.0,0,18461.53846153846
100.0,4.0,264.0,0,16600.0
76.0,4.0,210.0,0,2894.736842105264
53.0,4.0,118.0,0,9245.283018867924
74.0,4.0,149.0,0,20270.27027027027
82.0,4.0,210.0,0,2682.9268292682927
67.0,4.0,79.0,0,1477.6119402985075
120.0,4.0,57.0,0,22500.0
95.0,4.0,131.0,0,5421.052631578948
