Surface reelle bati,Nombre pieces principales,Surface terrain,Nombre de lots,prix_m2
63.0,4.0,58.0,0,1299.904761904762
72.0,4.0,165.0,0,694.4444444444445
90.0,4.0,108.0,0,4388.888888888889
58.0,4.0,146.0,0,3362.0689655172414
120.0,4.0,185.0,0,2875.0
111.0,4.0,160.0,0,3513.5135135135133
67.0,4.0,116.0,0,5074.626865671642
100.0,4.0,142.0,0,1400.0
74.0,4.0,397.0,0,2297.2972972972975
81.0,4.0,132.0,0,3456.7901234567903
80.0,4.0,109.0,0,4000.0
80.0,4.0,117.0,0,2275.0
63.0,4.0,107.0,0,3769.84126984127
72.0,4.0,145.0,0,3108.3333333333335
67.0,4.0,120.0,0,3931.3432835820895
66.0,4.0,286.0,0,2075.757575757576
163.0,4.0,149.0,0,3243.558282208589
68.0,4.0,110.0,0,3529.4117647058824
95.0,4.0,286.0,0,2421.0526315789475
76.0,4.0,176.0,0,2105.2631578947367
95.0,4.0,189.0,0,3915.7894736842104
67.0,4.0,256.0,0,3162.686567164179
86.0,4.0,57.0,0,2877.906976744186
80.0,4.0,85.0,0,2501.25
64.0,4.0,51.0,0,2414.0625
72.0,4.0,138.0,0,3263.8888888888887
77.0,4.0,145.0,0,2944.4155844155844
76.0,4.0,70.0,0,1907.8947368421052
61.0,4.0,60.0,0,3722.9508196721313
70.0,4.0,123.0,0,3714.285714285714
51.0,4.0,192.0,0,2745.098039215686
68.0,4.0,148.0,0,3073.529411764706
63.0,4.0,101.0,0,4095.2380952380954
70.0,4.0,144.0,0,2428.5714285714284
120.0,4.0,271.0,0,3400.0
69.0,4.0,181.0,0,2623.1884057971015
63.0,4.0,102.0,0,2698.4126984126983
68.0,4.0,46.0,0,3535.294117647059
85.0,4.0,164.0,0,2717.6470588235293
104.0,4.0,275.0,0,2067.3076923076924
154.0,4.0,268.0,0,2883.116883116883
85.0,4.0,320.0,0,1624.006470588235
104.0,4.0,68.0,0,2380.2884615384614
64.0,4.0,57.0,0,3328.125
85.0,4.0,59.0,0,2102.3529411764707
95.0,4.0,53.0,0,2736.842105263158
64.0,4.0,119.0,0,1718.75
68.0,4.0,81.0,0,2058.823529411765
92.0,4.0,289.0,0,1902.1739130434785
58.0,4.0,110.0,0,2348.2758620689656
76.0,4.0,514.0,0,2618.4210526315787
97.0,4.0,224.0,0,1908.2474226804125
166.0,4.0,715.0,0,3258.4337349397592
76.0,4.0,117.0,0,3364.4736842105262
115.0,4.0,247.0,0,3756.521739130435
93.0,4.0,116.0,0,3035.483870967742
68.0,4.0,736.0,0,2485.294117647059
72.0,4.0,152.0,0,4034.722222222222
70.0,4.0,62.0,0,3009.9285714285716
74.0,4.0,175.0,0,3147.2972972972975
69.0,4.0,54.0,0,2035.217391304348
70.0,4.0,285.0,0,2000.0
68.0,4.0,194.0,0,2941.176470588235
88.0,4.0,331.0,0,3886.363636363637
81.0,4.0,103.0,0,3086.41975308642
69.0,4.0,153.0,0,3497.1014492753625
126.0,4.0,101.0,0,3174.6031746031745
72.0,4.0,66.0,0,2666.6666666666665
54.0,4.0,84.0,0,3166.6666666666665
77.0,4.0,152.0,0,2987.012987012987
120.0,4.0,74.0,0,1640.8333333333333
63.0,4.0,93.0,0,3888.8888888888887
92.0,4.0,200.0,0,3755.434782608695
85.0,4.0,80.0,0,2717.6470588235293
59.0,4.0,87.0,0,3552.5423728813557
80.0,4.0,122.0,0,3850.0
80.0,4.0,135.0,0,3062.5
67.0,4.0,222.0,0,1641.7910447761194
96.0,4.0,98.0,0,2822.9166666666665
105.0,4.0,99.0,0,2803.3333333333335
86.0,4.0,135.0,0,3170.9302325581393
61.0,4.0,63.0,0,3278.688524590164
80.0,4.0,316.0,0,3556.25
73.0,4.0,120.0,0,2945.205479452055
150.0,4.0,88.0,0,3162.6666666666665
115.0,4.0,120.0,0,1347.8260869565215
74.0,4.0,75.0,0,4324.324324324324
55.0,4.0,91.0,0,2619.090909090909
95.0,4.0,48.0,0,5089.473684210527
90.0,4.0,162.0,0,3526.1111111111113
73.0,4.0,112.0,0,5294.520547945205
80.0,4.0,164.0,0,3162.5
77.0,4.0,54.0,0,2610.3896103896104
80.0,4.0,672.0,0,2625.0
80.0,4.0,81.0,0,2822.5
81.0,4.0,116.0,0,3700.0
105.0,4.0,101.0,0,1609.5238095238096
76.0,4.0,206.0,0,2684.2105263157896
76.0,4.0,143.0,0,3421.0526315789475
104.0,4.0,91.0,0,2200.480769230769
72.0,4.0,150.0,0,3891.6666666666665
57.0,4.0,76.0,0,4324.561403508772
67.0,4.0,59.0,0,2985.0746268656717
78.0,4.0,239.0,0,3002.5641025641025
72.0,4.0,134.0,0,3386.625
65.0,4.0,122.0,0,4179.2307692307695
75.0,4.0,71.0,0,2420.0
96.0,4.0,209.0,0,2604.1666666666665
100.0,4.0,151.0,0,1250.0
127.0,4.0,249.0,0,2858.267716535433
82.0,4.0,111.0,0,3426.829268292683
88.0,4.0,124.0,0,1970.1773863636363
85.0,4.0,84.0,0,3288.235294117647
170.0,4.0,116.0,0,5458.823529411765
63.0,4.0,38.0,0,2098.4126984126983
112.0,4.0,159.0,0,3943.535714285714
49.0,4.0,127.0,0,3489.795918367347
60.0,4.0,122.0,0,2616.6666666666665
78.0,4.0,125.0,0,3397.4358974358975
88.0,4.0,51.0,0,3238.6363636363635
94.0,4.0,86.0,0,2021.276595744681
80.0,4.0,65.0,0,2875.0
106.0,4.0,179.0,0,2509.433962264151
69.0,4.0,123.0,0,2028.9855072463768
50.0,4.0,64.0,0,3920.0
86.0,4.0,60.0,0,1941.860465116279
78.0,4.0,109.0,0,2615.3846153846152
63.0,4.0,130.0,0,2222.222222222222
95.0,4.0,124.0,0,3126.315789473684
66.0,4.0,97.0,0,3030.3030303030305
97.0,4.0,273.0,0,3144.3298969072166
55.0,4.0,47.0,0,2870.0
80.0,4.0,96.0,0,1764.75
68.0,4.0,171.0,0,2498.529411764706
95.0,4.0,124.0,0,2226.315789473684
83.0,4.0,146.0,0,1808.433734939759
86.0,4.0,164.0,0,2719.7880232558136
77.0,4.0,40.0,0,2653.896103896104
85.0,4.0,190.0,0,2505.8823529411766
101.0,4.0,222.0,0,4207.920792079208
84.0,4.0,82.0,0,3355.4761904761904
84.0,4.0,93.0,0,2682.2023809523807
63.0,4.0,162.0,0,3594.9206349206347
88.0,4.0,91.0,0,2981.25
56.0,4.0,220.0,0,3678.571428571429
77.0,4.0,71.0,0,1935.064935064935
123.0,4.0,140.0,0,1886.178861788618
